"","Gene_symbol","   Genes","Freq"
"51","CPE","carboxypeptidase E","4"
"52","GDNF","glial cell derived neurotrophic factor","4"
"53","HLA-G","major histocompatibility complex, class I, G","4"
"54","MAST2","microtubule associated serine/threonine kinase 2","4"
"55","PLG","plasminogen","4"
"56","SARM1","sterile alpha and TIR motif containing 1","4"
"57","TNF","tumor necrosis factor","4"
"58","ZP1","zona pellucida glycoprotein 1 (sperm receptor)","4"
"59","AAK1","AP2 associated kinase 1","3"
"60","BACE1","beta-site APP-cleaving enzyme 1","3"
"61","CBL","Cbl proto-oncogene, E3 ubiquitin protein ligase","3"
"62","CD69","CD69 molecule","3"
"63","CXCL12","chemokine (C-X-C motif) ligand 12","3"
"64","HDAC6","histone deacetylase 6","3"
"65","IDS","iduronate 2-sulfatase","3"
"66","IL6","interleukin 6 (interferon, beta 2)","3"
"67","IRF7","interferon regulatory factor 7","3"
"68","LAT","linker for activation of T cells","3"
"69","NMS","neuromedin S","3"
"70","PC","pyruvate carboxylase","3"
"71","PRL","prolactin","3"
"72","SCT","secretin","3"
"73","SOCS3","suppressor of cytokine signaling 3","3"
"74","STH","saitohin","3"
"75","TLR4","toll-like receptor 4","3"
"76","VDAC1","voltage-dependent anion channel 1","3"
"77","VPS54","vacuolar protein sorting 54 homolog (S. cerevisiae)","3"
"78","C6","complement component 6","2"
"79","C7","complement component 7","2"
"80","CA2","carbonic anhydrase II","2"
"81","CAMK2A","calcium/calmodulin-dependent protein kinase II alpha","2"
"82","CD63","CD63 molecule","2"
"83","CD86","CD86 molecule","2"
"84","CRP","C-reactive protein, pentraxin-related","2"
"85","CXCL9","chemokine (C-X-C motif) ligand 9","2"
"86","EID2","EP300 interacting inhibitor of differentiation 2","2"
"87","HPD","4-hydroxyphenylpyruvate dioxygenase","2"
"88","IFIT2","interferon-induced protein with tetratricopeptide repeats 2","2"
"89","JAK1","Janus kinase 1","2"
"90","KY","kyphoscoliosis peptidase","2"
"91","MNT","MNT, MAX dimerization protein","2"
"92","MSN","moesin","2"
"93","NGF","nerve growth factor (beta polypeptide)","2"
"94","PCBP2","poly(rC) binding protein 2","2"
"95","PIDD","p53-induced death domain protein","2"
"96","PZP","pregnancy-zone protein","2"
"97","SHD","Src homology 2 domain containing transforming protein D","2"
"98","TF","transferrin","2"
"99","TLR3","toll-like receptor 3","2"
"100","VIP","vasoactive intestinal peptide","2"
"101","VPS52","vacuolar protein sorting 52 homolog (S. cerevisiae)","2"
"102","YY1","YY1 transcription factor","2"
"103","ABCB1","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"104","ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2","1"
"105","ADA","adenosine deaminase","1"
"106","AP2M1","adaptor-related protein complex 2, mu 1 subunit","1"
"107","AR","androgen receptor","1"
"108","AVP","arginine vasopressin","1"
"109","BAX","BCL2-associated X protein","1"
"110","BCR","breakpoint cluster region","1"
"111","BECN1","beclin 1, autophagy related","1"
"112","C2","complement component 2","1"
"113","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","1"
"114","CASP2","caspase 2, apoptosis-related cysteine peptidase","1"
"115","CAV2","caveolin 2","1"
"116","CCND1","cyclin D1","1"
"117","CCNG1","cyclin G1","1"
"118","CCR2","chemokine (C-C motif) receptor 2","1"
"119","CD14","CD14 molecule","1"
"120","CD19","CD19 molecule","1"
"121","CD27","CD27 molecule","1"
"122","CD68","CD68 molecule","1"
"123","CD80","CD80 molecule","1"
"124","CD83","CD83 molecule","1"
"125","CDR1","cerebellar degeneration-related protein 1, 34kDa","1"
"126","CIAPIN1","cytokine induced apoptosis inhibitor 1","1"
"127","CXCL2","chemokine (C-X-C motif) ligand 2","1"
"128","DCD","dermcidin","1"
"129","DPT","dermatopontin","1"
"130","DPYSL3","dihydropyrimidinase-like 3","1"
"131","DSE","dermatan sulfate epimerase","1"
"132","DUSP5","dual specificity phosphatase 5","1"
"133","EGFR","epidermal growth factor receptor","1"
"134","F2","coagulation factor II (thrombin)","1"
"135","FAS","Fas (TNF receptor superfamily, member 6)","1"
"136","FEZF2","FEZ family zinc finger 2","1"
"137","FOS","FBJ murine osteosarcoma viral oncogene homolog","1"
"138","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","1"
"139","GEM","GTP binding protein overexpressed in skeletal muscle","1"
"140","GFAP","glial fibrillary acidic protein","1"
"141","GLUL","glutamate-ammonia ligase","1"
"142","GPR151","G protein-coupled receptor 151","1"
"143","GPX1","glutathione peroxidase 1","1"
"144","GSN","gelsolin","1"
"145","HP","haptoglobin","1"
"146","ID2","inhibitor of DNA binding 2, dominant negative helix-loop-helix protein","1"
"147","IL5","interleukin 5 (colony-stimulating factor, eosinophil)","1"
"148","IL8","interleukin 8","1"
"149","IMPACT","impact RWD domain protein","1"
"150","IRF1","interferon regulatory factor 1","1"
"151","JUN","jun proto-oncogene","1"
"152","KPNA4","karyopherin alpha 4 (importin alpha 3)","1"
"153","MAP2","microtubule-associated protein 2","1"
"154","MCL1","myeloid cell leukemia sequence 1 (BCL2-related)","1"
"155","MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","1"
"156","MOK","MOK protein kinase","1"
"157","MTM1","myotubularin 1","1"
"158","MYT1L","myelin transcription factor 1-like","1"
"159","NEDD4","neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase","1"
"160","NES","nestin","1"
"161","NPC1","Niemann-Pick disease, type C1","1"
"162","PAK1","p21 protein (Cdc42/Rac)-activated kinase 1","1"
"163","PDCD4","programmed cell death 4 (neoplastic transformation inhibitor)","1"
"164","PDF","peptide deformylase (mitochondrial)","1"
"165","PIP5K1C","phosphatidylinositol-4-phosphate 5-kinase, type I, gamma","1"
"166","PKD1","polycystic kidney disease 1 (autosomal dominant)","1"
"167","PREP","prolyl endopeptidase","1"
"168","PRR3","proline rich 3","1"
"169","PTPN4","protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)","1"
"170","SAMD9","sterile alpha motif domain containing 9","1"
"171","SI","sucrase-isomaltase (alpha-glucosidase)","1"
"172","SIRT1","sirtuin 1","1"
"173","SON","SON DNA binding protein","1"
"174","SPN","sialophorin","1"
"175","STAT2","signal transducer and activator of transcription 2, 113kDa","1"
"176","TANK","TRAF family member-associated NFKB activator","1"
"177","TBK1","TANK-binding kinase 1","1"
"178","TERT","telomerase reverse transcriptase","1"
"179","TH","tyrosine hydroxylase","1"
"180","TLR9","toll-like receptor 9","1"
"181","TRAF3","TNF receptor-associated factor 3","1"
"182","TRIO","trio Rho guanine nucleotide exchange factor","1"
"183","VPS51","vacuolar protein sorting 51 homolog (S. cerevisiae)","1"
"184","ZP2","zona pellucida glycoprotein 2 (sperm receptor)","1"
