"","Gene_symbol","   Genes","Freq"
"48","SOCS3","suppressor of cytokine signaling 3","11"
"49","TEC","tec protein tyrosine kinase","11"
"50","TH","tyrosine hydroxylase","11"
"51","HMGA1","high mobility group AT-hook 1","10"
"52","MNT","MNT, MAX dimerization protein","10"
"53","PTS","6-pyruvoyltetrahydropterin synthase","10"
"54","TST","thiosulfate sulfurtransferase (rhodanese)","10"
"55","AR","androgen receptor","9"
"56","C3","complement component 3","9"
"57","IL6","interleukin 6 (interferon, beta 2)","9"
"58","STAT1","signal transducer and activator of transcription 1, 91kDa","9"
"59","TP53","tumor protein p53","9"
"60","ARC","activity-regulated cytoskeleton-associated protein","8"
"61","CAT","catalase","8"
"62","CCL3","chemokine (C-C motif) ligand 3","8"
"63","CCR2","chemokine (C-C motif) receptor 2","8"
"64","CX3CL1","chemokine (C-X3-C motif) ligand 1","8"
"65","GLS","glutaminase","8"
"66","HLA-G","major histocompatibility complex, class I, G","8"
"67","LTB","lymphotoxin beta (TNF superfamily, member 3)","8"
"68","MIP","major intrinsic protein of lens fiber","8"
"69","PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha","8"
"70","SIRT1","sirtuin 1","8"
"71","AHR","aryl hydrocarbon receptor","7"
"72","C2","complement component 2","7"
"73","C5","complement component 5","7"
"74","CD28","CD28 molecule","7"
"75","CR1","complement component (3b/4b) receptor 1 (Knops blood group)","7"
"76","CTRL","chymotrypsin-like","7"
"77","HGF","hepatocyte growth factor (hepapoietin A; scatter factor)","7"
"78","IL18","interleukin 18 (interferon-gamma-inducing factor)","7"
"79","MB","myoglobin","7"
"80","MCC","mutated in colorectal cancers","7"
"81","MCU","mitochondrial calcium uniporter","7"
"82","NOX4","NADPH oxidase 4","7"
"83","PARP1","poly (ADP-ribose) polymerase 1","7"
"84","RAD51","RAD51 homolog (S. cerevisiae)","7"
"85","AMZ1","archaelysin family metallopeptidase 1","6"
"86","CCR1","chemokine (C-C motif) receptor 1","6"
"87","CXCL9","chemokine (C-X-C motif) ligand 9","6"
"88","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","6"
"89","IDUA","iduronidase, alpha-L-","6"
"90","LPA","lipoprotein, Lp(a)","6"
"91","MPO","myeloperoxidase","6"
"92","NLRP1","NLR family, pyrin domain containing 1","6"
"93","PLN","phospholamban","6"
"94","PRAC","prostate cancer susceptibility candidate","6"
"95","BID","BH3 interacting domain death agonist","5"
"96","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","5"
"97","CALR","calreticulin","5"
"98","CDCA5","cell division cycle associated 5","5"
"99","FOXO3","forkhead box O3","5"
"100","HLA-A","major histocompatibility complex, class I, A","5"
"101","NPY","neuropeptide Y","5"
"102","NTM","neurotrimin","5"
"103","PALB2","partner and localizer of BRCA2","5"
"104","PGF","placental growth factor","5"
"105","SLA","Src-like-adaptor","5"
"106","SMS","spermine synthase","5"
"107","TRB","T cell receptor beta locus","5"
"108","VAMP7","vesicle-associated membrane protein 7","5"
"109","VDR","vitamin D (1,25- dihydroxyvitamin D3) receptor","5"
"110","ACE2","angiotensin I converting enzyme (peptidyl-dipeptidase A) 2","4"
"111","APC","adenomatous polyposis coli","4"
"112","ATG16L1","autophagy related 16-like 1 (S. cerevisiae)","4"
"113","AVP","arginine vasopressin","4"
"114","CCR4","chemokine (C-C motif) receptor 4","4"
"115","CD68","CD68 molecule","4"
"116","CPB2","carboxypeptidase B2 (plasma)","4"
"117","DES","desmin","4"
"118","DGCR8","DiGeorge syndrome critical region gene 8","4"
"119","DUOX1","dual oxidase 1","4"
"120","F2","coagulation factor II (thrombin)","4"
"121","FH","fumarate hydratase","4"
"122","GATA2","GATA binding protein 2","4"
"123","GNLY","granulysin","4"
"124","HMGA2","high mobility group AT-hook 2","4"
"125","IL4","interleukin 4","4"
"126","IL17F","interleukin 17F","4"
"127","IRGM","immunity-related GTPase family, M","4"
"128","MBL2","mannose-binding lectin (protein C) 2, soluble","4"
"129","MLN","motilin","4"
"130","MPI","mannose phosphate isomerase","4"
"131","OASL","2'-5'-oligoadenylate synthetase-like","4"
"132","PHB2","prohibitin 2","4"
"133","PVR","poliovirus receptor","4"
"134","RPA1","replication protein A1, 70kDa","4"
"135","SRY","sex determining region Y","4"
"136","TG","thyroglobulin","4"
"137","TGFB1","transforming growth factor, beta 1","4"
"138","ABCG2","ATP-binding cassette, sub-family G (WHITE), member 2","3"
"139","ABO","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","3"
"140","ATP7B","ATPase, Cu++ transporting, beta polypeptide","3"
"141","CCL17","chemokine (C-C motif) ligand 17","3"
"142","CCR3","chemokine (C-C motif) receptor 3","3"
"143","CCR7","chemokine (C-C motif) receptor 7","3"
"144","CD14","CD14 molecule","3"
"145","CD27","CD27 molecule","3"
"146","CD69","CD69 molecule","3"
"147","CD163","CD163 molecule","3"
"148","COLEC11","collectin sub-family member 11","3"
"149","CYP2E1","cytochrome P450, family 2, subfamily E, polypeptide 1","3"
"150","DBP","D site of albumin promoter (albumin D-box) binding protein","3"
"151","DDT","D-dopachrome tautomerase","3"
"152","DUOX2","dual oxidase 2","3"
"153","EBI3","Epstein-Barr virus induced 3","3"
"154","FST","follistatin","3"
"155","GPT","glutamic-pyruvate transaminase (alanine aminotransferase)","3"
"156","HLA-C","major histocompatibility complex, class I, C","3"
"157","IMPACT","impact RWD domain protein","3"
"158","ITLN1","intelectin 1 (galactofuranose binding)","3"
"159","LAMC1","laminin, gamma 1 (formerly LAMB2)","3"
"160","LPO","lactoperoxidase","3"
"161","MEN1","multiple endocrine neoplasia I","3"
"162","MTHFR","methylenetetrahydrofolate reductase (NAD(P)H)","3"
"163","NFE2L2","nuclear factor (erythroid-derived 2)-like 2","3"
"164","PCNA","proliferating cell nuclear antigen","3"
"165","PDCD1","programmed cell death 1","3"
"166","POMC","proopiomelanocortin","3"
"167","PSIP1","PC4 and SFRS1 interacting protein 1","3"
"168","PTEN","phosphatase and tensin homolog","3"
"169","SOCS2","suppressor of cytokine signaling 2","3"
"170","SOX3","SRY (sex determining region Y)-box 3","3"
"171","STH","saitohin","3"
"172","TAT","tyrosine aminotransferase","3"
"173","TF","transferrin","3"
"174","TLR8","toll-like receptor 8","3"
"175","TTR","transthyretin","3"
"176","TXN","thioredoxin","3"
"177","TYK2","tyrosine kinase 2","3"
"178","UBA1","ubiquitin-like modifier activating enzyme 1","3"
"179","ABCB5","ATP-binding cassette, sub-family B (MDR/TAP), member 5","2"
"180","AIP","aryl hydrocarbon receptor interacting protein","2"
"181","AMPH","amphiphysin","2"
"182","AQP1","aquaporin 1 (Colton blood group)","2"
"183","AQP9","aquaporin 9","2"
"184","ATF6","activating transcription factor 6","2"
"185","C9","complement component 9","2"
"186","CARD11","caspase recruitment domain family, member 11","2"
"187","CASP1","caspase 1, apoptosis-related cysteine peptidase","2"
"188","CCND1","cyclin D1","2"
"189","CD5","CD5 molecule","2"
"190","CD19","CD19 molecule","2"
"191","CD34","CD34 molecule","2"
"192","CD38","CD38 molecule","2"
"193","CD40","CD40 molecule, TNF receptor superfamily member 5","2"
"194","CD44","CD44 molecule (Indian blood group)","2"
"195","CD79A","CD79a molecule, immunoglobulin-associated alpha","2"
"196","CD83","CD83 molecule","2"
"197","CD200","CD200 molecule","2"
"198","CDC6","cell division cycle 6","2"
"199","CDKN2A","cyclin-dependent kinase inhibitor 2A","2"
"200","CDKN2B","cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)","2"
"201","CIC","capicua transcriptional repressor","2"
"202","CXCR4","chemokine (C-X-C motif) receptor 4","2"
"203","CXCR5","chemokine (C-X-C motif) receptor 5","2"
"204","CYP3A4","cytochrome P450, family 3, subfamily A, polypeptide 4","2"
"205","DEFB1","defensin, beta 1","2"
"206","DSE","dermatan sulfate epimerase","2"
"207","DST","dystonin","2"
"208","EED","embryonic ectoderm development","2"
"209","F3","coagulation factor III (thromboplastin, tissue factor)","2"
"210","FOXP3","forkhead box P3","2"
"211","GATA4","GATA binding protein 4","2"
"212","GDNF","glial cell derived neurotrophic factor","2"
"213","GFAP","glial fibrillary acidic protein","2"
"214","GSTM1","glutathione S-transferase mu 1","2"
"215","GSTT1","glutathione S-transferase theta 1","2"
"216","HK1","hexokinase 1","2"
"217","HPD","4-hydroxyphenylpyruvate dioxygenase","2"
"218","IL2","interleukin 2","2"
"219","IPMK","inositol polyphosphate multikinase","2"
"220","KLRG1","killer cell lectin-like receptor subfamily G, member 1","2"
"221","LTA","lymphotoxin alpha (TNF superfamily, member 1)","2"
"222","MASP2","mannan-binding lectin serine peptidase 2","2"
"223","MCAM","melanoma cell adhesion molecule","2"
"224","MICA","MHC class I polypeptide-related sequence A","2"
"225","MICU1","mitochondrial calcium uptake 1","2"
"226","MICU2","mitochondrial calcium uptake 2","2"
"227","MSH2","mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)","2"
"228","MYL2","myosin, light chain 2, regulatory, cardiac, slow","2"
"229","NAT2","N-acetyltransferase 2 (arylamine N-acetyltransferase)","2"
"230","NPC2","Niemann-Pick disease, type C2","2"
"231","PEX16","peroxisomal biogenesis factor 16","2"
"232","PLB1","phospholipase B1","2"
"233","PRLR","prolactin receptor","2"
"234","PSD","pleckstrin and Sec7 domain containing","2"
"235","RB1","retinoblastoma 1","2"
"236","RBFOX2","RNA binding protein, fox-1 homolog (C. elegans) 2","2"
"237","RHD","Rh blood group, D antigen","2"
"238","RP1","retinitis pigmentosa 1 (autosomal dominant)","2"
"239","RUNX1","runt-related transcription factor 1","2"
"240","S100A8","S100 calcium binding protein A8","2"
"241","S100A9","S100 calcium binding protein A9","2"
"242","SHD","Src homology 2 domain containing transforming protein D","2"
"243","SOD2","superoxide dismutase 2, mitochondrial","2"
"244","SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","2"
"245","SRL","sarcalumenin","2"
"246","ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","2"
"247","TLR6","toll-like receptor 6","2"
"248","TRIM21","tripartite motif containing 21","2"
"249","TRPV1","transient receptor potential cation channel, subfamily V, member 1","2"
"250","UBP1","upstream binding protein 1 (LBP-1a)","2"
"251","UNC93B1","unc-93 homolog B1 (C. elegans)","2"
"252","VAMP3","vesicle-associated membrane protein 3","2"
"253","WISP1","WNT1 inducible signaling pathway protein 1","2"
"254","ABCA3","ATP-binding cassette, sub-family A (ABC1), member 3","1"
"255","ABCC1","ATP-binding cassette, sub-family C (CFTR/MRP), member 1","1"
"256","ABCG1","ATP-binding cassette, sub-family G (WHITE), member 1","1"
"257","ADAM12","ADAM metallopeptidase domain 12","1"
"258","ADK","adenosine kinase","1"
"259","AFM","afamin","1"
"260","ALPP","alkaline phosphatase, placental","1"
"261","APEX1","APEX nuclease (multifunctional DNA repair enzyme) 1","1"
"262","APOA1","apolipoprotein A-I","1"
"263","APOL1","apolipoprotein L, 1","1"
"264","ATG5","autophagy related 5","1"
"265","ATG14","autophagy related 14","1"
"266","ATXN3L","ataxin 3-like","1"
"267","BAD","BCL2-associated agonist of cell death","1"
"268","BAX","BCL2-associated X protein","1"
"269","BCL2","B-cell CLL/lymphoma 2","1"
"270","BRCA1","breast cancer 1, early onset","1"
"271","BRCA2","breast cancer 2, early onset","1"
"272","BSG","basigin (Ok blood group)","1"
"273","BTC","betacellulin","1"
"274","C6","complement component 6","1"
"275","C7","complement component 7","1"
"276","CA1","carbonic anhydrase I","1"
"277","CA3","carbonic anhydrase III, muscle specific","1"
"278","CCL4","chemokine (C-C motif) ligand 4","1"
"279","CCL8","chemokine (C-C motif) ligand 8","1"
"280","CCL22","chemokine (C-C motif) ligand 22","1"
"281","CCL24","chemokine (C-C motif) ligand 24","1"
"282","CCR6","chemokine (C-C motif) receptor 6","1"
"283","CD3D","CD3d molecule, delta (CD3-TCR complex)","1"
"284","CD9","CD9 molecule","1"
"285","CD22","CD22 molecule","1"
"286","CD24","CD24 molecule","1"
"287","CD63","CD63 molecule","1"
"288","CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","1"
"289","CD81","CD81 molecule","1"
"290","CD160","CD160 molecule","1"
"291","CDK2","cyclin-dependent kinase 2","1"
"292","CEL","carboxyl ester lipase","1"
"293","CGB5","chorionic gonadotropin, beta polypeptide 5","1"
"294","CKM","creatine kinase, muscle","1"
"295","CLEC5A","C-type lectin domain family 5, member A","1"
"296","CPD","carboxypeptidase D","1"
"297","CTGF","connective tissue growth factor","1"
"298","CTRC","chymotrypsin C (caldecrin)","1"
"299","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","1"
"300","CXCL2","chemokine (C-X-C motif) ligand 2","1"
"301","CXCL11","chemokine (C-X-C motif) ligand 11","1"
"302","CXCR2","chemokine (C-X-C motif) receptor 2","1"
"303","CYP2C9","cytochrome P450, family 2, subfamily C, polypeptide 9","1"
"304","DBT","dihydrolipoamide branched chain transacylase E2","1"
"305","DERL3","derlin 3","1"
"306","DHFR","dihydrofolate reductase","1"
"307","DOCK9","dedicator of cytokinesis 9","1"
"308","DUOXA1","dual oxidase maturation factor 1","1"
"309","DUOXA2","dual oxidase maturation factor 2","1"
"310","DYRK2","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2","1"
"311","EDC4","enhancer of mRNA decapping 4","1"
"312","EGFR","epidermal growth factor receptor","1"
"313","EGR1","early growth response 1","1"
"314","EIF2AK3","eukaryotic translation initiation factor 2-alpha kinase 3","1"
"315","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2","1"
"316","EPHA4","EPH receptor A4","1"
"317","ETNK2","ethanolamine kinase 2","1"
"318","EXOC4","exocyst complex component 4","1"
"319","EXOC7","exocyst complex component 7","1"
"320","F12","coagulation factor XII (Hageman factor)","1"
"321","FAP","fibroblast activation protein, alpha","1"
"322","FCGR2A","Fc fragment of IgG, low affinity IIa, receptor (CD32)","1"
"323","FCN2","ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)","1"
"324","FCRL5","Fc receptor-like 5","1"
"325","FN1","fibronectin 1","1"
"326","FOS","FBJ murine osteosarcoma viral oncogene homolog","1"
"327","FOSB","FBJ murine osteosarcoma viral oncogene homolog B","1"
"328","GALT","galactose-1-phosphate uridylyltransferase","1"
"329","GFI1B","growth factor independent 1B transcription repressor","1"
"330","GNE","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase","1"
"331","GPSM3","G-protein signaling modulator 3","1"
"332","GSS","glutathione synthetase","1"
"333","GSTP1","glutathione S-transferase pi 1","1"
"334","HBM","hemoglobin, mu","1"
"335","HLA-DRA","major histocompatibility complex, class II, DR alpha","1"
"336","HTT","huntingtin","1"
"337","ICAM1","intercellular adhesion molecule 1","1"
"338","ICMT","isoprenylcysteine carboxyl methyltransferase","1"
"339","IGLL5","immunoglobulin lambda-like polypeptide 5","1"
"340","IL1B","interleukin 1, beta","1"
"341","IL13","interleukin 13","1"
"342","IRF3","interferon regulatory factor 3","1"
"343","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","1"
"344","IVD","isovaleryl-CoA dehydrogenase","1"
"345","JAK3","Janus kinase 3","1"
"346","JUN","jun proto-oncogene","1"
"347","KCNA4","potassium voltage-gated channel, shaker-related subfamily, member 4","1"
"348","KCND3","potassium voltage-gated channel, Shal-related subfamily, member 3","1"
"349","KCNIP4","Kv channel interacting protein 4","1"
"350","KCNQ1","potassium voltage-gated channel, KQT-like subfamily, member 1","1"
"351","KIF12","kinesin family member 12","1"
"352","KIR2DL3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","1"
"353","KISS1","KiSS-1 metastasis-suppressor","1"
"354","KRAS","v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","1"
"355","LAG3","lymphocyte-activation gene 3","1"
"356","LAMP2","lysosomal-associated membrane protein 2","1"
"357","LGALS3","lectin, galactoside-binding, soluble, 3","1"
"358","LRRK2","leucine-rich repeat kinase 2","1"
"359","MAG","myelin associated glycoprotein","1"
"360","MAL","mal, T-cell differentiation protein","1"
"361","MBP","myelin basic protein","1"
"362","MC2R","melanocortin 2 receptor (adrenocorticotropic hormone)","1"
"363","MCL1","myeloid cell leukemia sequence 1 (BCL2-related)","1"
"364","MET","met proto-oncogene (hepatocyte growth factor receptor)","1"
"365","MICB","MHC class I polypeptide-related sequence B","1"
"366","MMP2","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)","1"
"367","MMP7","matrix metallopeptidase 7 (matrilysin, uterine)","1"
"368","MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","1"
"369","MOB1A","MOB kinase activator 1A","1"
"370","MORN1","MORN repeat containing 1","1"
"371","MS4A1","membrane-spanning 4-domains, subfamily A, member 1","1"
"372","MUC2","mucin 2, oligomeric mucus/gel-forming","1"
"373","MZB1","marginal zone B and B1 cell-specific protein","1"
"374","NBR1","neighbor of BRCA1 gene 1","1"
"375","NCAM1","neural cell adhesion molecule 1","1"
"376","NDRG2","NDRG family member 2","1"
"377","NF1","neurofibromin 1","1"
"378","NOD1","nucleotide-binding oligomerization domain containing 1","1"
"379","NOD2","nucleotide-binding oligomerization domain containing 2","1"
"380","PAM","peptidylglycine alpha-amidating monooxygenase","1"
"381","PDGFB","platelet-derived growth factor beta polypeptide","1"
"382","PF4","platelet factor 4","1"
"383","PKD1","polycystic kidney disease 1 (autosomal dominant)","1"
"384","PKD2","polycystic kidney disease 2 (autosomal dominant)","1"
"385","PML","promyelocytic leukemia","1"
"386","POLR1B","polymerase (RNA) I polypeptide B, 128kDa","1"
"387","POU2AF1","POU class 2 associating factor 1","1"
"388","PRG2","proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)","1"
"389","PRSS1","protease, serine, 1 (trypsin 1)","1"
"390","RHO","rhodopsin","1"
"391","RPE","ribulose-5-phosphate-3-epimerase","1"
"392","RUNX3","runt-related transcription factor 3","1"
"393","SARS","seryl-tRNA synthetase","1"
"394","SAV1","salvador homolog 1 (Drosophila)","1"
"395","SDC1","syndecan 1","1"
"396","SDS","serine dehydratase","1"
"397","SGPL1","sphingosine-1-phosphate lyase 1","1"
"398","SIRT2","sirtuin 2","1"
"399","SIRT5","sirtuin 5","1"
"400","SLCO1B1","solute carrier organic anion transporter family, member 1B1","1"
"401","SMAD7","SMAD family member 7","1"
"402","SMOC2","SPARC related modular calcium binding 2","1"
"403","SNAI1","snail homolog 1 (Drosophila)","1"
"404","SOCS1","suppressor of cytokine signaling 1","1"
"405","SP4","Sp4 transcription factor","1"
"406","SPINK1","serine peptidase inhibitor, Kazal type 1","1"
"407","SRM","spermidine synthase","1"
"408","SRSF1","serine/arginine-rich splicing factor 1","1"
"409","SRSF7","serine/arginine-rich splicing factor 7","1"
"410","STAT4","signal transducer and activator of transcription 4","1"
"411","STAT6","signal transducer and activator of transcription 6, interleukin-4 induced","1"
"412","STS","steroid sulfatase (microsomal), isozyme S","1"
"413","TAC3","tachykinin 3","1"
"414","TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","1"
"415","TEF","thyrotrophic embryonic factor","1"
"416","TFEB","transcription factor EB","1"
"417","TFF3","trefoil factor 3 (intestinal)","1"
"418","THBS1","thrombospondin 1","1"
"419","TIMELESS","timeless circadian clock","1"
"420","TLR3","toll-like receptor 3","1"
"421","TLR7","toll-like receptor 7","1"
"422","TMPRSS2","transmembrane protease, serine 2","1"
"423","TNC","tenascin C","1"
"424","TNFAIP6","tumor necrosis factor, alpha-induced protein 6","1"
"425","TNFRSF1A","tumor necrosis factor receptor superfamily, member 1A","1"
"426","TPO","thyroid peroxidase","1"
"427","TRAF6","TNF receptor-associated factor 6, E3 ubiquitin protein ligase","1"
"428","TSC2","tuberous sclerosis 2","1"
"429","VAMP1","vesicle-associated membrane protein 1 (synaptobrevin 1)","1"
"430","WAS","Wiskott-Aldrich syndrome","1"
"431","WDR33","WD repeat domain 33","1"
"432","WDR36","WD repeat domain 36","1"
"433","WT1","Wilms tumor 1","1"
"434","XIAP","X-linked inhibitor of apoptosis","1"
