"","Gene_symbol","   Genes","Freq"
"166","CXCL9","chemokine (C-X-C motif) ligand 9","2"
"167","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)","2"
"168","DDX6","DEAD (Asp-Glu-Ala-Asp) box helicase 6","2"
"169","DNM2","dynamin 2","2"
"170","DPM1","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit","2"
"171","DSP","desmoplakin","2"
"172","EGF","epidermal growth factor","2"
"173","ELANE","elastase, neutrophil expressed","2"
"174","ERC1","ELKS/RAB6-interacting/CAST family member 1","2"
"175","F9","coagulation factor IX","2"
"176","FASN","fatty acid synthase","2"
"177","FCGR2A","Fc fragment of IgG, low affinity IIa, receptor (CD32)","2"
"178","FGL1","fibrinogen-like 1","2"
"179","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","2"
"180","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1","2"
"181","GLUL","glutamate-ammonia ligase","2"
"182","HGF","hepatocyte growth factor (hepapoietin A; scatter factor)","2"
"183","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","2"
"184","HP","haptoglobin","2"
"185","HPRT1","hypoxanthine phosphoribosyltransferase 1","2"
"186","IDO1","indoleamine 2,3-dioxygenase 1","2"
"187","IFIH1","interferon induced with helicase C domain 1","2"
"188","IFIT1","interferon-induced protein with tetratricopeptide repeats 1","2"
"189","IFNL3","interferon, lambda 3","2"
"190","IL4R","interleukin 4 receptor","2"
"191","IL13","interleukin 13","2"
"192","IL17F","interleukin 17F","2"
"193","IL18","interleukin 18 (interferon-gamma-inducing factor)","2"
"194","IL18BP","interleukin 18 binding protein","2"
"195","IRF1","interferon regulatory factor 1","2"
"196","ISG15","ISG15 ubiquitin-like modifier","2"
"197","IVL","involucrin","2"
"198","KIR2DL1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1","2"
"199","KIR3DL1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","2"
"200","KLC2","kinesin light chain 2","2"
"201","LAMB2","laminin, beta 2 (laminin S)","2"
"202","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","2"
"203","MAGED1","melanoma antigen family D, 1","2"
"204","MFAP4","microfibrillar-associated protein 4","2"
"205","MFN1","mitofusin 1","2"
"206","MFN2","mitofusin 2","2"
"207","MNT","MNT, MAX dimerization protein","2"
"208","MX1","myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)","2"
"209","NLRC4","NLR family, CARD domain containing 4","2"
"210","NOS2","nitric oxide synthase 2, inducible","2"
"211","PLAT","plasminogen activator, tissue","2"
"212","RPE","ribulose-5-phosphate-3-epimerase","2"
"213","RPLP1","ribosomal protein, large, P1","2"
"214","S1PR2","sphingosine-1-phosphate receptor 2","2"
"215","SDS","serine dehydratase","2"
"216","TAT","tyrosine aminotransferase","2"
"217","TFPI","tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)","2"
"218","TIRAP","toll-interleukin 1 receptor (TIR) domain containing adaptor protein","2"
"219","TLR10","toll-like receptor 10","2"
"220","VCAM1","vascular cell adhesion molecule 1","2"
"221","VDR","vitamin D (1,25- dihydroxyvitamin D3) receptor","2"
"222","VPS13C","vacuolar protein sorting 13 homolog C (S. cerevisiae)","2"
"223","AFP","alpha-fetoprotein","1"
"224","AKT1","v-akt murine thymoma viral oncogene homolog 1","1"
"225","ALG3","ALG3, alpha-1,3- mannosyltransferase","1"
"226","APEX2","APEX nuclease (apurinic/apyrimidinic endonuclease) 2","1"
"227","APP","amyloid beta (A4) precursor protein","1"
"228","AQP1","aquaporin 1 (Colton blood group)","1"
"229","ARC","activity-regulated cytoskeleton-associated protein","1"
"230","ATF5","activating transcription factor 5","1"
"231","ATF6","activating transcription factor 6","1"
"232","ATG16L1","autophagy related 16-like 1 (S. cerevisiae)","1"
"233","ATG16L2","autophagy related 16-like 2 (S. cerevisiae)","1"
"234","AVP","arginine vasopressin","1"
"235","C1S","complement component 1, s subcomponent","1"
"236","C5","complement component 5","1"
"237","C19orf66","chromosome 19 open reading frame 66","1"
"238","CALR","calreticulin","1"
"239","CCL18","chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)","1"
"240","CCL20","chemokine (C-C motif) ligand 20","1"
"241","CD2","CD2 molecule","1"
"242","CD2BP2","CD2 (cytoplasmic tail) binding protein 2","1"
"243","CD9","CD9 molecule","1"
"244","CD19","CD19 molecule","1"
"245","CD28","CD28 molecule","1"
"246","CD34","CD34 molecule","1"
"247","CD40","CD40 molecule, TNF receptor superfamily member 5","1"
"248","CD59","CD59 molecule, complement regulatory protein","1"
"249","CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","1"
"250","CEACAM1","carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)","1"
"251","CEBPB","CCAAT/enhancer binding protein (C/EBP), beta","1"
"252","CFD","complement factor D (adipsin)","1"
"253","CFI","complement factor I","1"
"254","CHI3L1","chitinase 3-like 1 (cartilage glycoprotein-39)","1"
"255","CHPF","chondroitin polymerizing factor","1"
"256","CTSG","cathepsin G","1"
"257","CXCL2","chemokine (C-X-C motif) ligand 2","1"
"258","CXCL6","chemokine (C-X-C motif) ligand 6","1"
"259","CXCL11","chemokine (C-X-C motif) ligand 11","1"
"260","CXCR2","chemokine (C-X-C motif) receptor 2","1"
"261","CXCR4","chemokine (C-X-C motif) receptor 4","1"
"262","CYP24A1","cytochrome P450, family 24, subfamily A, polypeptide 1","1"
"263","DAK","dihydroxyacetone kinase 2 homolog (S. cerevisiae)","1"
"264","DDX23","DEAD (Asp-Glu-Ala-Asp) box polypeptide 23","1"
"265","DEFA4","defensin, alpha 4, corticostatin","1"
"266","EGFR","epidermal growth factor receptor","1"
"267","EIF2AK3","eukaryotic translation initiation factor 2-alpha kinase 3","1"
"268","ETNK2","ethanolamine kinase 2","1"
"269","EZH1","enhancer of zeste homolog 1 (Drosophila)","1"
"270","F2","coagulation factor II (thrombin)","1"
"271","F3","coagulation factor III (thromboplastin, tissue factor)","1"
"272","FAS","Fas (TNF receptor superfamily, member 6)","1"
"273","FCGR3A","Fc fragment of IgG, low affinity IIIa, receptor (CD16a)","1"
"274","FST","follistatin","1"
"275","FTO","fat mass and obesity associated","1"
"276","G3BP2","GTPase activating protein (SH3 domain) binding protein 2","1"
"277","GFAP","glial fibrillary acidic protein","1"
"278","GLS","glutaminase","1"
"279","GOLGA2","golgin A2","1"
"280","GP1BA","glycoprotein Ib (platelet), alpha polypeptide","1"
"281","GPI","glucose-6-phosphate isomerase","1"
"282","HAP1","huntingtin-associated protein 1","1"
"283","HBA1","hemoglobin, alpha 1","1"
"284","HERC5","HECT and RLD domain containing E3 ubiquitin protein ligase 5","1"
"285","HLA-C","major histocompatibility complex, class I, C","1"
"286","HLA-G","major histocompatibility complex, class I, G","1"
"287","HMBS","hydroxymethylbilane synthase","1"
"288","HSPA5","heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)","1"
"289","ICMT","isoprenylcysteine carboxyl methyltransferase","1"
"290","IFI44","interferon-induced protein 44","1"
"291","IFITM1","interferon induced transmembrane protein 1","1"
"292","IFITM2","interferon induced transmembrane protein 2","1"
"293","IL1R1","interleukin 1 receptor, type I","1"
"294","IL1RN","interleukin 1 receptor antagonist","1"
"295","IL2","interleukin 2","1"
"296","IL3","interleukin 3 (colony-stimulating factor, multiple)","1"
"297","IL4","interleukin 4","1"
"298","IL5","interleukin 5 (colony-stimulating factor, eosinophil)","1"
"299","IL9","interleukin 9","1"
"300","IL12A","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","1"
"301","IL17A","interleukin 17A","1"
"302","IRF9","interferon regulatory factor 9","1"
"303","IRGC","immunity-related GTPase family, cinema","1"
"304","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","1"
"305","IVD","isovaleryl-CoA dehydrogenase","1"
"306","JAK2","Janus kinase 2","1"
"307","JAK3","Janus kinase 3","1"
"308","LARP1","La ribonucleoprotein domain family, member 1","1"
"309","LY6E","lymphocyte antigen 6 complex, locus E","1"
"310","MAFB","v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)","1"
"311","MAL","mal, T-cell differentiation protein","1"
"312","MARS","methionyl-tRNA synthetase","1"
"313","MB","myoglobin","1"
"314","MBP","myelin basic protein","1"
"315","MICA","MHC class I polypeptide-related sequence A","1"
"316","MMP8","matrix metallopeptidase 8 (neutrophil collagenase)","1"
"317","MMP10","matrix metallopeptidase 10 (stromelysin 2)","1"
"318","MMP12","matrix metallopeptidase 12 (macrophage elastase)","1"
"319","MMP15","matrix metallopeptidase 15 (membrane-inserted)","1"
"320","MMP16","matrix metallopeptidase 16 (membrane-inserted)","1"
"321","MMP24","matrix metallopeptidase 24 (membrane-inserted)","1"
"322","MR1","major histocompatibility complex, class I-related","1"
"323","MRC1","mannose receptor, C type 1","1"
"324","MT-ND4","mitochondrially encoded NADH dehydrogenase 4","1"
"325","MX2","myxovirus (influenza virus) resistance 2 (mouse)","1"
"326","NAMPT","nicotinamide phosphoribosyltransferase","1"
"327","NLRP1","NLR family, pyrin domain containing 1","1"
"328","NOD2","nucleotide-binding oligomerization domain containing 2","1"
"329","NSF","N-ethylmaleimide-sensitive factor","1"
"330","OASL","2'-5'-oligoadenylate synthetase-like","1"
"331","OLFM4","olfactomedin 4","1"
"332","OSBPL9","oxysterol binding protein-like 9","1"
"333","OSBPL10","oxysterol binding protein-like 10","1"
"334","OSBPL11","oxysterol binding protein-like 11","1"
"335","PABPC1","poly(A) binding protein, cytoplasmic 1","1"
"336","PAF1","Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)","1"
"337","PDCL3","phosducin-like 3","1"
"338","PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","1"
"339","PINK1","PTEN induced putative kinase 1","1"
"340","PRCC","papillary renal cell carcinoma (translocation-associated)","1"
"341","PRDX4","peroxiredoxin 4","1"
"342","PRMT1","protein arginine methyltransferase 1","1"
"343","PSMB9","proteasome (prosome, macropain) subunit, beta type, 9","1"
"344","PTAFR","platelet-activating factor receptor","1"
"345","PTPN20A","protein tyrosine phosphatase, non-receptor type 20A","1"
"346","PTPRE","protein tyrosine phosphatase, receptor type, E","1"
"347","RCL1","RNA terminal phosphate cyclase-like 1","1"
"348","RPL19","ribosomal protein L19","1"
"349","RPLP0","ribosomal protein, large, P0","1"
"350","RPLP2","ribosomal protein, large, P2","1"
"351","RPS2","ribosomal protein S2","1"
"352","RXRA","retinoid X receptor, alpha","1"
"353","S1PR5","sphingosine-1-phosphate receptor 5","1"
"354","SCD","stearoyl-CoA desaturase (delta-9-desaturase)","1"
"355","SCT","secretin","1"
"356","SDC2","syndecan 2","1"
"357","SELENBP1","selenium binding protein 1","1"
"358","SH2B3","SH2B adaptor protein 3","1"
"359","SLC16A14","solute carrier family 16, member 14 (monocarboxylic acid transporter 14)","1"
"360","SMAD7","SMAD family member 7","1"
"361","SMPD1","sphingomyelin phosphodiesterase 1, acid lysosomal","1"
"362","SOCS3","suppressor of cytokine signaling 3","1"
"363","SON","SON DNA binding protein","1"
"364","SP1","Sp1 transcription factor","1"
"365","SRM","spermidine synthase","1"
"366","STX5","syntaxin 5","1"
"367","SYNGR1","synaptogyrin 1","1"
"368","TANK","TRAF family member-associated NFKB activator","1"
"369","TAP1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","1"
"370","TAP2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","1"
"371","TAZ","tafazzin","1"
"372","TG","thyroglobulin","1"
"373","TH","tyrosine hydroxylase","1"
"374","THPO","thrombopoietin","1"
"375","TIMP1","TIMP metallopeptidase inhibitor 1","1"
"376","TNFAIP3","tumor necrosis factor, alpha-induced protein 3","1"
"377","TP53","tumor protein p53","1"
"378","TPM1","tropomyosin 1 (alpha)","1"
"379","TPO","thyroid peroxidase","1"
"380","TPSAB1","tryptase alpha/beta 1","1"
"381","TRD","T cell receptor delta locus","1"
"382","TRIM25","tripartite motif containing 25","1"
"383","TRIM69","tripartite motif containing 69","1"
"384","TRIP11","thyroid hormone receptor interactor 11","1"
"385","TRPA1","transient receptor potential cation channel, subfamily A, member 1","1"
"386","TYK2","tyrosine kinase 2","1"
"387","UBR4","ubiquitin protein ligase E3 component n-recognin 4","1"
"388","USP10","ubiquitin specific peptidase 10","1"
"389","XCL1","chemokine (C motif) ligand 1","1"
